Név,Google Maps Link,Szélességi fok,Hosszúsági fok,Weboldal,Telefon,Cím,E-mail,Összes E-mail
Royal Palace Thai Massage Szigetszentmiklós,https://www.google.com/maps/place/Royal+Palace+Thai+Massage+Szigetszentmikl%C3%B3s/data=!4m7!3m6!1s0x4741e5950c84836b:0x5aa1d474a07451f6!8m2!3d47.354662!4d19.030617!16s%2Fg%2F11l3454tzf!19sChIJa4OEDJXlQUcR9lF0oHTUoVo?authuser=0&hl=hu&rclk=1,47.354662,19.030617,https://rpthaimassage.hu/,06703237059,"Szigetszentmiklós, Vörösmarty u. 25/B, 2310",rptm@rpthaimassage.hu,rptm@rpthaimassage.hu
Royal Thai Massage Budapest,https://www.google.com/maps/place/Royal+Thai+Massage+Budapest/data=!4m7!3m6!1s0x4741dbc2359ef22b:0x15f30b2016f31014!8m2!3d47.508542!4d19.026188!16s%2Fg%2F12qgw0n68!19sChIJK_KeNcLbQUcRFBDzFiAL8xU?authuser=0&hl=hu&rclk=1,47.508542,19.026188,https://royalthai.hu/,06709409430,"Budapest, BarberShop mögött, Mammut1 Földszint L010, Lövőház u. 2-6, 1024",job@royalthai.hu,job@royalthai.hu
Angel Thai Massage,https://www.google.com/maps/place/Angel+Thai+Massage/data=!4m7!3m6!1s0x4741dd18393684ef:0xd6b862778d65ed5!8m2!3d47.4986353!4d19.0690663!16s%2Fg%2F11yttt6_hj!19sChIJ74Q2ORjdQUcR1V7WeCeGaw0?authuser=0&hl=hu&rclk=1,47.4986353,19.0690663,http://angelmasszazs.hu/,06303974771,"Budapest, Kertész u. 4, 1074",info@angelmasszazs.hu,info@angelmasszazs.hu
Secret of Budapest Tantra & Sensual Spa,https://www.google.com/maps/place/Secret+of+Budapest+Tantra+%26+Sensual+Spa/data=!4m7!3m6!1s0x4741dd9c4fee96b1:0xd50ffb8375ae9ee9!8m2!3d47.5083093!4d19.0491335!16s%2Fg%2F11vkrvry49!19sChIJsZbuT5zdQUcR6Z6udYP7D9U?authuser=0&hl=hu&rclk=1,47.5083093,19.0491335,https://secretofbudapest.com/,06209102151,"Budapest, Szalay u. 3, 1055",,
"Spirit Thai Massage, Váci utca 39","https://www.google.com/maps/place/Spirit+Thai+Massage,+V%C3%A1ci+utca+39/data=!4m7!3m6!1s0x4741dc4427be42a9:0xdd8e55966ba67526!8m2!3d47.4917134!4d19.0538611!16s%2Fg%2F1hf4xx0vj!19sChIJqUK-J0TcQUcRJnWma5ZVjt0?authuser=0&hl=hu&rclk=1",47.4917134,19.0538611,http://www.thai-masszazs.net/en,06705246836,"Budapest, Váci u 39, 1056",info@thai-masszazs.net,info@thai-masszazs.net
Mint Thai Massage shop2 - Irányi utca,https://www.google.com/maps/place/Mint+Thai+Massage+shop2+-+Ir%C3%A1nyi+utca/data=!4m7!3m6!1s0x4741dd69f2e3ba49:0xa744c04b094f297f!8m2!3d47.4909651!4d19.0533063!16s%2Fg%2F11y4r7w1ts!19sChIJSbrj8mndQUcRfylPCUvARKc?authuser=0&hl=hu&rclk=1,47.4909651,19.0533063,https://mintthaimassage.hu/,06706000571,"Budapest, Irányi u. 5, 1056",,
Mint Thai Massage shop1 - Veres Pálné utca,https://www.google.com/maps/place/Mint+Thai+Massage+shop1+-+Veres+P%C3%A1ln%C3%A9+utca/data=!4m7!3m6!1s0x11c66e410722ea7:0x2819097d9d128361!8m2!3d47.4889877!4d19.0577991!16s%2Fg%2F11kp9ymnng!19sChIJpy5yEORmHAERYYMSnX0JGSg?authuser=0&hl=hu&rclk=1,47.4889877,19.0577991,https://mintthaimassage.hu/,06706000571,"Budapest, Veres Pálné u. 27, 1053",,
Karma Thai Massage & Hamam Spa - Budapest,https://www.google.com/maps/place/Karma+Thai+Massage+%26+Hamam+Spa+-+Budapest/data=!4m7!3m6!1s0x4741dde18afffc97:0xf0eb1dca22c914c2!8m2!3d47.503589!4d19.062096!16s%2Fg%2F11txv266rh!19sChIJl_z_iuHdQUcRwhTJIsod6_A?authuser=0&hl=hu&rclk=1,47.503589,19.062096,https://karmathaimasszazs.hu/,06707777753,"Budapest, Paulay Ede u. 56, 1061",,
5 Elements SPA,https://www.google.com/maps/place/5+Elements+SPA/data=!4m7!3m6!1s0x4741dc0dcc073e2f:0x603b4c97573d3987!8m2!3d47.5109233!4d19.053692!16s%2Fg%2F1hf2wsm2n!19sChIJLz4HzA3cQUcRhzk9V5dMO2A?authuser=0&hl=hu&rclk=1,47.5109233,19.053692,http://5elements-massage-spa.hu/,06302779555,"Budapest, Szent István krt. 25, 1055",india@5elements-massage-spa.hu,"india@5elements-massage-spa.hu, bali@5elements-massage-spa.hu, info@5elements-massage-spa.hu"
Sky Thai Massage Budapest/Ó street 25,https://www.google.com/maps/place/Sky+Thai+Massage+Budapest%2F%C3%93+street+25/data=!4m7!3m6!1s0x4741dd74b613b68f:0xddf20c1c91065949!8m2!3d47.5040652!4d19.058066!16s%2Fg%2F11pd2wn30p!19sChIJj7YTtnTdQUcRSVkGkRwM8t0?authuser=0&hl=hu&rclk=1,47.5040652,19.058066,http://www.skythaimassage.hu/,06501236011,"Budapest, Ó u. 25, 1066",ningyentafo@gmail.com,ningyentafo@gmail.com
