Node,Degree,Betweenness,PageRank,Community
Dice Rolling,29359,0.08711411073615798,0.08137815222967229,2
Hand Management,18457,0.13094196558763485,0.05238926268861665,3
Variable Player Powers,15589,0.028725575969670455,0.03982640341871112,1
Fantasy,12242,0.03730783652043494,0.030725480592729507,1
Set Collection,10176,0.04568178977627796,0.02916973030586573,0
Simulation,10068,0.055034787318251885,0.02841165266439461,2
Hexagon Grid,9197,0.051576886222555504,0.02578602393972275,2
Grid Movement,8671,0.04405699287589051,0.022767009727280064,2
Modular Board,8697,0.04036995375578052,0.02256446019449647,1
Economic,6867,0.04916052160146648,0.021814862686523346,0
Fighting,8464,0.034933133358330204,0.021446301180220787,1
Drafting,7598,0.03676623755363912,0.02027439663234629,3
Science Fiction,7270,0.0291005291005291,0.01960633354857208,1
Area Majority / Influence,6729,0.029475482231387743,0.018035445227169156,0
Cooperative Game,6637,0.009311336082989626,0.017681955246954133,1
Betting and Bluffing,5439,0.017872765904261966,0.015957213340612914,3
Tile Placement,5336,0.02828813065033537,0.015904628719255236,0
Adventure,6082,0.009186351706036745,0.015385033297343097,1
Area Movement,5157,0.04180727409073865,0.01382873300942658,0
Action Points,5216,0.004999375078115235,0.0133383808486435,1
Deduction,3949,0.03687039120109986,0.012676415915207837,3
Animals,3519,0.04030746156730408,0.012346586072737958,3
Solo / Solitaire Game,4576,0.022788818064408613,0.012272384871194333,1
Auction/Bidding,4026,0.019247594050743656,0.01169228863096148,0
World War II,4212,0.006811648543932008,0.011571343503051092,2
Take That,4208,0.014352372620089154,0.011147437653515932,3
Simultaneous Action Selection,3971,0.02562179727534058,0.011097517508106468,3
Medieval,3794,0.02237220347456568,0.011069540684467215,0
Team-Based Game,3829,0.03589134691496895,0.010934780992343456,3
Humor,3718,0.01104028663083781,0.010923832633525653,3
Roll / Spin and Move,3793,0.009373828271466066,0.010836048655404187,0
Horror,3069,0.032412615089780446,0.00958862067018134,1
Point to Point Movement,3171,0.026538349372995037,0.009027378547690444,1
Movies / TV / Radio theme,3186,0.007061617297837769,0.00899923273188839,0
Negotiation,3090,0.006249218847644044,0.008787143113701958,0
Worker Placement,2858,0.00712410948631421,0.008514182694448275,0
Player Elimination,2994,0.002124734408198975,0.008362975413816212,0
Scenario / Mission / Campaign Game,2931,0.016560429946256717,0.008312316070136121,2
Movement Points,2839,0.0017497812773403323,0.00811906197016336,2
Memory,2380,0.009061367329083863,0.007295445195145283,3
"Deck, Bag, and Pool Building",2606,0.0084989376327959,0.00722276943011544,1
Role Playing,2552,0.0016247969003874514,0.007090761661648638,1
Push Your Luck,2423,0.001124859392575928,0.006905570005564796,3
Ancient,2296,0.007290755322251385,0.006717670463957376,0
Trading,2250,0.0009373828271466066,0.006657681044286833,0
Pick-up and Deliver,2035,0.00993625796775403,0.006214452702481045,0
Secret Unit Deployment,2060,0.0016247969003874514,0.006044944704376459,2
Network and Route Building,1692,0.0006249218847644044,0.005859108986705476,0
Campaign / Battle Card Driven,1909,0.008436445444319459,0.005602994834966147,2
City Building,1678,0.005999250093738282,0.00537972581664815,0
Nautical,1665,0.003124609423822022,0.005340027767361626,2
Ratio / Combat Results Table,1626,0.0,0.005084167474718596,2
Real-Time,1406,0.010269549639628377,0.004969800114855934,3
Dexterity,1394,0.008811398575178101,0.004960297503428764,3
Political,1479,0.004561929758780152,0.004788742799389273,0
Variable Set-up,1439,0.01718535183102112,0.004587138237523115,2
Novel-based,1455,0.005874265716785401,0.0045518163033574305,1
Zone of Control,1391,0.0,0.004498212714119612,2
Storytelling,1312,0.002124734408198975,0.004397903107681669,1
Transportation,1134,0.012915052285131023,0.004338729527868385,0
Pattern Building,1188,0.00018747656542932132,0.004295026989367386,3
Trains,1037,0.0,0.004188713960391967,0
Events,1262,0.002437195350581177,0.00414839111449216,2
Racing,1108,0.00024996875390576176,0.004101862542714981,3
Civilization,1192,0.003812023497062867,0.004035060810172913,0
Voting,1107,0.004874390701162354,0.003926886857123383,3
Stock Holding,909,0.0,0.003914475552747594,0
Modern Warfare,1060,0.004561929758780152,0.00390793870110917,2
Paper-and-Pencil,884,0.009311336082989626,0.003849700422922254,2
Line of Sight,1132,0.00037495313085864263,0.003823042208547731,2
Action Queue,1001,0.0012498437695288088,0.003457023086843442,1
Mythology,940,0.000999875015623047,0.0033241748594551746,1
Pattern Recognition,751,0.0,0.0032810414674483922,3
Comic Book / Strip,719,0.002124734408198975,0.0032132666626214544,1
Murder/Mystery,787,0.0006249218847644044,0.003196269741035089,3
Sports,772,0.0,0.00312638954849001,3
American Civil War,613,0.00012498437695288088,0.0029522394349274974,2
Variable Phase Order,754,0.004145315168937217,0.0029066962794800535,1
Physical,710,0.009623797025371828,0.0028650281626034176,3
Chit-Pull System,651,0.0,0.0027072931677580804,2
Space Exploration,642,0.0,0.0026418782457357202,1
Trivia,577,0.0037495313085864263,0.0025738651937281167,0
Aviation / Flight,568,0.0,0.0025097758582579123,2
Age of Reason,306,0.0007499062617172853,0.0025022132901739713,2
Industry / Manufacturing,518,0.0008123984501937257,0.0024812944793864656,0
Post-Napoleonic,471,0.0,0.002435608431890177,2
Video Game Theme,558,0.0,0.002427707502492829,1
Pirates,503,0.0020622422197225346,0.002391954210043837,2
Napoleonic,513,0.0,0.0023915869807076056,2
Zombies,491,0.0007499062617172853,0.002338461375827074,1
Farming,437,0.02393450818647669,0.002295803104384993,0
Commodity Speculation,357,0.005665958421863932,0.0021603294523717858,0
Renaissance,402,0.006686664166979127,0.00213741495345857,0
Race,391,0.006103403741199016,0.0021209158735291398,3
Civil War,354,0.008457276173811607,0.002111296451220171,2
World War I,391,0.0,0.0021015415470565213,2
TableauBuilding,366,0.0,0.0020787390782765693,3
Theme_Superheroes,294,0.0014998125234345705,0.002004110103576939,1
Spies/Secret Agents,323,0.006228388118151898,0.0019733722616093506,3
Square Grid,302,0.0,0.0018674484059342166,2
Theme_Alternate History,257,0.0053743282089738775,0.001826747621552952,2
Travel,254,0.0,0.0017837916466364248,0
Environmental,229,0.006686664166979127,0.0017713401630203582,3
