set_id,set_name,url,year,manufacturer,parallel,set_short,base_set
351085,2022-23 Score Ligue 1 ,https://www.tcdb.com/Checklist.cfm/sid/351085/2022-23-ScoreLigue1,2022-23,Score,Base,Ligue 1,True
351095,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351095/2022-23-Score-Ligue-1---Black-Lasers,2022-23,Score,Black Lasers,Ligue 1,False
351094,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351094/2022-23-Score-Ligue-1---Black-Swirl,2022-23,Score,Black Swirl,Ligue 1,False
351089,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351089/2022-23-Score-Ligue-1---Blue-Laser,2022-23,Score,Blue Laser,Ligue 1,False
351104,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351104/2022-23-Score-Ligue-1---Breakthrough,2022-23,Score,Breakthrough,Ligue 1,False
351107,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351107/2022-23-Score-Ligue-1---Breakthrough-Black-Lasers,2022-23,Score,Breakthrough Black Lasers,Ligue 1,False
351106,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351106/2022-23-Score-Ligue-1---Breakthrough-Black-Swirl,2022-23,Score,Breakthrough Black Swirl,Ligue 1,False
351108,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351108/2022-23-Score-Ligue-1---Breakthrough-Gold-Swirl,2022-23,Score,Breakthrough Gold Swirl,Ligue 1,False
351105,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351105/2022-23-Score-Ligue-1---Breakthrough-Purple-Lasers,2022-23,Score,Breakthrough Purple Lasers,Ligue 1,False
351090,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351090/2022-23-Score-Ligue-1---Bronze-Swirl,2022-23,Score,Bronze Swirl,Ligue 1,False
351093,2022-23 Score Ligue 1,https://www.tcdb.com/Checklist.cfm/sid/351093/2022-23-Score-Ligue-1---Gold-Swirl,2022-23,Score,Gold Swirl,Ligue 1,False
