url,title,price,area_m2,floor,rooms,location,Típus,Szintek száma,Állapot,scrape_date,Fűtés,Energetikai besorolás,Napelem,Építés éve,Erkély,,Tervezett átadás,Terasz,Átlagos rezsiköltség
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8666812?page=1&pos=1&cr=601,"Budapest XIII. kerület eladó téglalakás 2 szobás: 84,9 millió Ft",84.9,53.0,53 m²,2.0,"Budapest XIII. kerület, Újlipótváros",Téglalakás,5,Felújított,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-vi-kerulet-nagykoruton-beluli-terulet/7899058?page=1&pos=4&cr=600,"Budapest VI. kerület eladó társasházi lakás 1+1 fél szobás: 72,72 millió Ft",72.72,45.0,45 m²,1.0,"Budapest VI. kerület, Nagykörúton belüli terület",Társasházi lakás,3,Jó állapotú,2025-08-17,Gázkazán,G,Nincs,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-vizafogo/8608201?page=1&pos=6&cr=600,Budapest XIII. kerület eladó téglalakás 2 szobás: 159 millió Ft,159.0,66.0,66 m²,2.0,"Budapest XIII. kerület, Vizafogó",Téglalakás,8,Újszerű,2025-08-17,Mennyezeti hűtés-fűtés,A+,,2024,12 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet-corvin-negyed/8531175?page=1&pos=7&cr=600,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vii-kerulet-ligetvaros/8655552?page=1&pos=9&cr=575,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiv-kerulet-alsorakos/8654229?page=1&pos=10&cr=550,Budapest XIV. kerület eladó téglalakás 2 szobás: 94 millió Ft,94.0,48.0,48 m²,2.0,"Budapest XIV. kerület, Alsórákos",Téglalakás,5,Új építésű,2025-08-17,Hőszivattyú,A+,,2025,22 m²,,,,
https://www.zenga.hu/ingatlan/elado-egyeb-lakas-budapest-viii-kerulet/8635766?page=1&pos=11&cr=519,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xix-kerulet-wekerletelep/8626302?page=1&pos=12&cr=500,"Budapest XIX. kerület eladó téglalakás 3 szobás: 79,9 millió Ft",79.9,69.0,69 m²,3.0,"Budapest XIX. kerület, Wekerletelep",Téglalakás,,Jó állapotú,2025-08-17,Gázkazán,D,,1926,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-iii-kerulet/8654188?page=1&pos=13&cr=500,Eladó 1 szobás téglalakás Budapest III. kerületben,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-iii-kerulet/8655619?page=1&pos=14&cr=500,Budapest III. kerület eladó téglalakás 2 szobás: 170 millió Ft,170.0,105.0,105 m²,2.0,"Budapest III. kerület, Almási Balogh Lóránd",Téglalakás,3,Újszerű,2025-08-17,Házközponti fűtés egyedi méréssel,B,,2010,50 m²,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-viii-kerulet/8196668?page=1&pos=15&cr=500,Budapest VIII. kerület eladó téglalakás 3 szobás: 90 millió Ft,90.0,109.0,109 m²,3.0,Budapest VIII. kerület,Téglalakás,4,Jó állapotú,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1910,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xix-kerulet/8606996?page=1&pos=16&cr=500,"Eladó 2 szobás téglalakás 67,05 millió Ft értékben Budapest XIX. kerületben - Aerogate Homes lakóparkban",67.05,45.0,45 m²,2.0,"Budapest XIX. kerület, Tompa utca 162119/7 hrsz.",Téglalakás,8,Új építésű,2025-08-17,Hőszivattyú,,,,"8,1 m²",,2027. 2. negyedév,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xi-kerulet/8398708?page=1&pos=17&cr=451,Budapest XI. kerület eladó téglalakás 3 szobás: 98 millió Ft,98.0,113.0,113 m²,3.0,Budapest XI. kerület,Téglalakás,,Jó állapotú,2025-08-17,Gázkazán,Nem adta meg a hirdető,,1928,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-ujlipotvaros/8414292?page=1&pos=18&cr=401,"Budapest XIII. kerület eladó téglalakás 4 szobás: 116,9 millió Ft",116.9,111.0,111 m²,4.0,"Budapest XIII. kerület, Újlipótváros",Téglalakás,6,Felújítandó,2025-08-17,Gázkazán,G,,1905,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ix-kerulet/8447529?page=1&pos=19&cr=401,"Eladó 3 szobás téglalakás 97,24 millió Ft értékben Budapest IX. kerületben - Parkville Residences lakóparkban",97.24,68.0,68 m²,3.0,Budapest IX. kerület,Téglalakás,10,Új építésű,2025-08-17,Mennyezeti hűtés-fűtés,A++,,,"6,6 m²",,2027. 4. negyedév,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ix-kerulet/8447550?page=1&pos=20&cr=401,"Eladó 1 szobás téglalakás 58,56 millió Ft értékben Budapest IX. kerületben - Parkville Residences lakóparkban",58.56,36.0,36 m²,1.0,Budapest IX. kerület,Téglalakás,10,Új építésű,2025-08-17,Mennyezeti hűtés-fűtés,A++,,,"6,6 m²",,2027. 4. negyedév,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ix-kerulet/8447536?page=2&pos=1&cr=401,"Eladó 2 szobás téglalakás 71,08 millió Ft értékben Budapest IX. kerületben - Parkville Residences lakóparkban",71.08,47.0,47 m²,2.0,Budapest IX. kerület,Téglalakás,10,Új építésű,2025-08-17,Mennyezeti hűtés-fűtés,A++,,,"6,2 m²",,2027. 4. negyedév,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ii-kerulet-budaliget/8442508?page=2&pos=2&cr=400,"Budapest II. kerület eladó téglalakás 5 szobás: 293,49 millió Ft",293.49,115.0,115 m²,5.0,"Budapest II. kerület, Budaliget",Téglalakás,,Új építésű,2025-08-17,Hőszivattyú,Nem adta meg a hirdető,,2025,,,,55 m²,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xvi-kerulet-cinkota/8263303?page=2&pos=3&cr=400,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ix-kerulet-belso-ferencvaros/8431808?page=2&pos=4&cr=400,"Budapest IX. kerület eladó téglalakás 1 szobás: 73,9 millió Ft",73.9,38.0,38 m²,1.0,"Budapest IX. kerület, Belső Ferencváros",Téglalakás,,Új építésű,2025-08-17,Hőszivattyú,A++,,2025,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-ix-kerulet-belso-ferencvaros/8430367?page=2&pos=5&cr=400,"Budapest IX. kerület eladó téglalakás 1 szobás: 73,9 millió Ft",73.9,39.0,39 m²,1.0,"Budapest IX. kerület, Belső Ferencváros",Téglalakás,,Új építésű,2025-08-17,Hőszivattyú,A++,,2025,,,,,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xiii-kerulet-angyalfold/8563675?page=2&pos=6&cr=400,"Budapest XIII. kerület eladó téglalakás 1+2 fél szobás: 109,5 millió Ft",109.5,68.0,68 m²,1.0,"Budapest XIII. kerület, Angyalföld",Téglalakás,6,Jó állapotú,2025-08-17,Házközponti fűtés egyedi méréssel,Nem adta meg a hirdető,Nincs,2004,6 m²,,,,40 000 Ft/hó
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-x-kerulet-laposdulo/8635968?page=2&pos=7&cr=395,"Budapest X. kerület eladó téglalakás 1+2 fél szobás: 49,99 millió Ft",49.99,47.0,47 m²,1.0,"Budapest X. kerület, Laposdűlő, Gép utca 17",Téglalakás,2,Jó állapotú,2025-08-17,Gáz (konvektor),Nem adta meg a hirdető,,,,,,,25 000 Ft/hó
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-xiii-kerulet-vizafogo/8553458?page=2&pos=8&cr=375,Budapest XIII. kerület eladó társasházi lakás 4 szobás: 159 millió Ft,159.0,92.0,92 m²,4.0,"Budapest XIII. kerület, Vizafogó, Jakab József utca 15",Társasházi lakás,8,Újszerű,2025-08-17,Házközponti fűtés egyedi méréssel,B,Nincs,2019,10 m²,,,10 m²,
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-vii-kerulet/8587195?page=2&pos=9&cr=360,,,,,,,,,,2025-08-17,,,,,,,,,
https://www.zenga.hu/ingatlan/elado-tarsashazi-lakas-budapest-xiv-kerulet-torokor/8660145?page=2&pos=10&cr=350,"Budapest XIV. kerület eladó társasházi lakás 1+1 fél szobás: 69,5 millió Ft",69.5,46.0,46 m²,1.0,"Budapest XIV. kerület, Törökőr, újvilág utca 35",Társasházi lakás,3,Jó állapotú,2025-08-17,Gázkazán,E,Nincs,2002,4 m²,,,,35 000 Ft/hó
https://www.zenga.hu/ingatlan/elado-teglalakas-budapest-xxii-kerulet-baross-gabor-telep/8338676?page=2&pos=11&cr=350,"Budapest XXII. kerület eladó téglalakás 3 szobás: 123,9 millió Ft",123.9,91.0,91 m²,3.0,"Budapest XXII. kerület, Baross Gábor telep",Téglalakás,4,Átlagos,2025-08-17,Házközponti fűtés egyedi méréssel,E,,2004,,,,,
